"Time","CSCCounts wetlab_transmissometer"
1736797500000,10999.701590271281
1736798400000,11003.611786716558
1736799300000,10997.806179775282
1736800200000,10994.274087932647
1736801100000,10999.526660430309
1736802000000,11002.223782771536
1736802900000,11002.919550982226
1736803800000,11000.88493919551
1736804700000,11002.787652011226
1736805600000,11003.604303086997
1736806500000,11002.455992509364
1736807400000,10998.843779232928
1736808300000,10994.068288119737
1736809200000,10994.818352059925
1736810100000,10996.709073900842
1736811000000,10996.443820224718
1736811900000,10998.244153414405
1736812800000,10994.083255378859
1736813700000,10990.565789473685
1736814600000,10990.818521983161
1736815500000,10987.499063670411
1736816400000,10986.56647940075
1736817300000,10987.983161833488
1736818200000,10985.253745318352
1736819100000,10983.33395696913
1736820000000,10981.852996254682
1736820900000,10977.59925093633
1736821800000,10975.633302151544
1736822700000,10973.928838951311
1736823600000,10970.99812909261
1736824500000,10965.756554307116
1736825400000,10961.67539756782
1736826300000,10958.276217228464
1736827200000,10953.58091674462
1736828100000,10946.259120673527
1736829000000,10945.484082397004
1736829900000,10943.54911131899
1736830800000,10947.606741573034
1736831700000,10944.150608044902
1736832600000,10945.887745556594
1736833500000,10945.968164794007
1736834400000,10943
1736835300000,10936.51404494382
1736836200000,10919.727782974744
1736837100000,10920.394761459307
1736838000000,10928.659176029963
1736838900000,10930.855004677269
1736839800000,10927.871842843779
1736840700000,10927.222846441948
1736841600000,10924.543498596819
1736842500000,10911.569691300281
1736843400000,10912.87265917603
1736844300000,10909.025257249767
1736845200000,10902.57904583723
1736846100000,10896.76426566885
1736847000000,10897.250936329589
1736847900000,10887.730589335828
1736848800000,10885.63670411985
1736849700000,10882.362956033676
1736850600000,10880.037418147802
1736851500000,10880.62265917603
1736852400000,10877.684752104771
1736853300000,10879.06086142322
1736854200000,10873.487371375117
1736855100000,10864.696629213484
1736856000000,10861.114125350796
1736856900000,10855.297752808989
1736857800000,10854.261927034611
1736858700000,10857.303370786516
1736859600000,10861.199251637045
1736860500000,10856.68352059925
1736861400000,10852.284377923294
1736862300000,10853.08426966292
1736863200000,10853.594013096352
1736864100000,10853.065543071161
1736865000000,10819.393826005613
1736865900000,10793.927970065482
1736866800000,10751.038389513109
1736867700000,10751.303370786516
1736868600000,10744.55472404116
1736869500000,10738.956928838952
1736870400000,10722.74555659495
