"Time","MwxStbdRelativeHumidity stbd_mast_vaisala"
2025-01-11 01:16:00,81%
2025-01-11 01:18:00,79%
2025-01-11 01:20:00,79%
2025-01-11 01:22:00,80%
2025-01-11 01:24:00,79%
2025-01-11 01:26:00,79%
2025-01-11 01:28:00,80%
2025-01-11 01:30:00,79%
2025-01-11 01:32:00,79%
2025-01-11 01:34:00,80%
2025-01-11 01:36:00,80%
2025-01-11 01:38:00,80%
2025-01-11 01:40:00,79%
2025-01-11 01:42:00,80%
2025-01-11 01:44:00,79%
2025-01-11 01:46:00,81%
2025-01-11 01:48:00,80%
2025-01-11 01:50:00,79%
2025-01-11 01:52:00,80%
2025-01-11 01:54:00,79%
2025-01-11 01:56:00,79%
2025-01-11 01:58:00,80%
2025-01-11 02:00:00,80%
2025-01-11 02:02:00,80%
2025-01-11 02:04:00,79%
2025-01-11 02:06:00,80%
2025-01-11 02:08:00,80%
2025-01-11 02:10:00,79%
2025-01-11 02:12:00,81%
2025-01-11 02:14:00,79%
2025-01-11 02:16:00,80%
2025-01-11 02:18:00,79%
2025-01-11 02:20:00,79%
2025-01-11 02:22:00,79%
2025-01-11 02:24:00,77%
2025-01-11 02:26:00,78%
2025-01-11 02:28:00,78%
2025-01-11 02:30:00,78%
2025-01-11 02:32:00,79%
2025-01-11 02:34:00,77%
2025-01-11 02:36:00,78%
2025-01-11 02:38:00,78%
2025-01-11 02:40:00,78%
2025-01-11 02:42:00,80%
2025-01-11 02:44:00,78%
2025-01-11 02:46:00,79%
2025-01-11 02:48:00,79%
2025-01-11 02:50:00,80%
2025-01-11 02:52:00,80%
2025-01-11 02:54:00,77%
2025-01-11 02:56:00,78%
2025-01-11 02:58:00,78%
2025-01-11 03:00:00,78%
2025-01-11 03:02:00,77%
2025-01-11 03:04:00,77%
2025-01-11 03:06:00,77%
2025-01-11 03:08:00,77%
2025-01-11 03:10:00,78%
2025-01-11 03:12:00,78%
2025-01-11 03:14:00,77%
2025-01-11 03:16:00,78%
2025-01-11 03:18:00,77%
2025-01-11 03:20:00,78%
2025-01-11 03:22:00,78%
2025-01-11 03:24:00,79%
2025-01-11 03:26:00,77%
2025-01-11 03:28:00,78%
2025-01-11 03:30:00,77%
2025-01-11 03:32:00,78%
2025-01-11 03:34:00,76%
2025-01-11 03:36:00,77%
2025-01-11 03:38:00,78%
2025-01-11 03:40:00,76%
2025-01-11 03:42:00,77%
2025-01-11 03:44:00,77%
2025-01-11 03:46:00,78%
2025-01-11 03:48:00,77%
2025-01-11 03:50:00,77%
2025-01-11 03:52:00,77%
2025-01-11 03:54:00,77%
2025-01-11 03:56:00,78%
2025-01-11 03:58:00,78%
2025-01-11 04:00:00,79%
2025-01-11 04:02:00,80%
2025-01-11 04:04:00,78%
2025-01-11 04:06:00,77%
2025-01-11 04:08:00,79%
2025-01-11 04:10:00,77%
2025-01-11 04:12:00,78%
2025-01-11 04:14:00,79%
2025-01-11 04:16:00,75%
2025-01-11 04:18:00,78%
2025-01-11 04:20:00,78%
2025-01-11 04:22:00,77%
2025-01-11 04:24:00,77%
